Site,Stem_id,Plot,Date,Species,DBH,Distance,Azimuth,Genus,Specific epithet,Scientific name,Common name,Functional,secondary,tert,Notes
Kreher,174,20,5/19/2022,QUNI,13,4.1,321,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Kreher,175,20,5/19/2022,PRSE,11.6,4.6,348,Prunus,serotina,Prunusserotina,cherry,other,other,Encroaching,
Kreher,176,20,5/19/2022,PRSE,23,4,20,Prunus,serotina,Prunusserotina,cherry,other,other,Encroaching,
Kreher,177,20,5/19/2022,PITA,33.8,7.9,225,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Kreher,178,20,5/19/2022,PITA,45.4,6.1,84,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Kreher,179,20,5/19/2022,PITA,55.6,3.7,173,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Kreher,180,20,5/19/2022,PITA,64.3,7.1,268,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Kreher,181,20,5/19/2022,LIST,10.1,5.1,34,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Kreher,182,20,5/19/2022,LIST,12.5,7.8,177,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Kreher,183,20,5/19/2022,LIST,13,5.2,113,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
